*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_IO_v1_0
*Date=09:59:53
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;89.4644;-93.1561;0;Bottom;UART173
2;;;6.60239;-65.1458;0;Bottom;Hole107
3;;THT;101.812;-26.4106;90;Bottom;J141
4;;;63.6905;-77.1146;0;Bottom;Copper Fill98
5;;;49.7417;-82.2906;0;Bottom;Via14
6;;;98.0017;-14.3455;0;Bottom;Via228
7;;;112.814;-76.7844;0;Bottom;Copper Fill206
8;;;10.3794;-44.8638;-90;Bottom;TXT2
9;;;108.61;-59.7791;0;Bottom;Copper Fill30
10;;;109.466;-92.4724;0;Bottom;TXT1
11;;THT;38.9467;-57.5256;-90;Bottom;SPI
12;;;19.8967;-26.4105;0;Bottom;Via214
13;;THT;108.726;-11.8369;90;Bottom;J125
14;;;119.202;-14.6179;0;Bottom;Copper Fill219
15;;;61.8537;-17.5243;-90;Bottom;TXT2
16;;;42.0116;-46.7743;0;Bottom;Copper Fill10
17;;;109.553;-57.0906;0;Bottom;TXT1
18;;THT;65.3344;-85.6067;180;Bottom;J123
19;;;45.3238;-46.61;-90;Bottom;TXT2
20;;;113.965;-42.3516;0;Bottom;TXT2
21;;;29.986;-84.6894;0;Top;Pad4
22;;;108.61;-54.6991;0;Bottom;Copper Fill143
23;;;55.7012;-87.4364;-90;Bottom;TXT1
24;;;92.7188;-1.52904;0;Bottom;TXT1
25;;;55.8095;-89.9106;0;Bottom;Via21
26;;;94.5289;-48.1871;0;Bottom;TXT2
27;;THT;70.1322;-35.9356;-90;Bottom;UART195
28;;;13.5001;-5.3342;0;Bottom;Copper Fill26
29;;;109.969;-2.9466;0;Bottom;Copper Fill200
30;;;105.622;-14.3455;0;Bottom;Via236
31;;;97.6757;-50.8541;0;Bottom;TXT2
32;;;46.5312;-94.5084;90;Bottom;TXT2
33;;;107.531;-50.978;0;Bottom;Copper Fill31
34;;;28.426;-72.8626;-90;Bottom;TXT1
35;;;90.3817;-14.3455;0;Bottom;Via232
36;;THT;108.867;-32.8311;-90;Bottom;S6
37;;;42.8291;-28.2033;0;Bottom;TXT1
38;;;82.6361;-59.8419;0;Bottom;TXT1
39;;;103.01;-40.3354;0;Bottom;Copper Fill132
40;;;89.8828;-50.7198;-90;Bottom;TXT2
41;;THT;8.14917;-12.1231;0;Bottom;UART238
42;;;28.9027;-3.3289;-90;Bottom;TXT1
43;;;5.21306;-14.8576;0;Bottom;TXT1
44;;;109.553;-54.3386;0;Bottom;TXT1
45;;;82.657;-57.1893;0;Bottom;TXT1
46;;;30.0567;-26.3868;0;Bottom;TXT2
47;;;107.103;-32.9282;0;Bottom;Pad35
48;;;35.1367;-34.0305;0;Bottom;Via218
49;;;22.6949;-39.675;0;Bottom;Copper Fill166
50;;;38.2905;-2.5148;0;Bottom;Copper Fill73
51;;;60.8136;-91.6966;0;Bottom;IMG5
52;;;118.406;-39.3416;180;Bottom;IMG12
53;;;74.0156;-42.3547;0;Bottom;Copper Fill59
54;;;93.98;-54.7034;90;Bottom;TXT2
55;;;7.80753;-49.5599;0;Bottom;TXT2
56;;;21.0795;-73.4508;-90;Bottom;TXT2
57;;;33.3626;-44.2008;-90;Bottom;TXT2
58;;;110.842;-67.0825;-90;Bottom;TXT2
59;;;17.3101;-27.5338;0;Bottom;Copper Fill135
60;;;33.8384;-30.1782;90;Bottom;IMG15
61;;;73.3197;-45.8159;0;Bottom;TXT2
62;;;89.1921;-32.3852;0;Bottom;Copper Fill19
63;;;45.3437;-32.1144;0;Bottom;TXT1
64;;;7.8613;-36.373;0;Bottom;Copper Fill23
65;;;55.5967;-46.1106;-90;Bottom;TXT2
