*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=steelsquid_PIIO_v1_0
*Date=11:00:53
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;49.5123;-83.0635;0;Bottom;Hole112
2;;;7.34387;-77.7032;0;Bottom;TXT2
3;;;100.848;-96.058;0;Bottom;IMG2
4;;;71.5796;-25.3537;0;Bottom;TXT1
5;;;105.466;-32.4689;0;Bottom;TXT1
6;;;7.92969;-81.5144;0;Bottom;Via74
7;;;5.30916;-8.036;0;Top;blkr42
8;;;57.8011;-75.6348;-90;Bottom;TXT1
9;;;28.9151;-40.5115;0;Top;blkr50
10;;;72.5805;-1.5496;0;Bottom;Copper Fill174
11;;;118.364;-4.1531;0;Bottom;Copper Fill140
12;;;67.8208;-32.2154;0;Bottom;TXT1
13;;;30.8463;-46.0069;-90;Bottom;TXT2
14;;;109.834;-42.7175;-90;Bottom;TXT1
15;;THT;51.6743;-56.82;-90;Bottom;GPIO4
16;;THT;92.3143;-32.69;180;Bottom;UART302
17;;;118.364;-9.2331;0;Bottom;Copper Fill280
18;;;30.5095;-73.3316;0;Bottom;TXT1
19;;;117.785;-31.702;-90;Bottom;TXT2
20;;;84.2857;-78.9002;0;Top;blkr79
21;;;4.11977;-76.2933;0;Bottom;TXT1
22;;;61.1087;-14.1237;0;Top;blkr58
23;;;60.8818;-7.60751;0;Bottom;Via313
24;;;93.2053;-95.5296;0;Bottom;Copper Fill148
25;;;85.0392;-79.3879;0;Bottom;Copper Fill85
26;;;54.6745;-93.5929;0;Bottom;TXT2
27;;;55.0259;-35.0182;0;Bottom;TXT2
28;;;5.9062;-96.6068;0;Bottom;TXT1
29;;;10.1963;-92.1804;0;Bottom;TXT1
30;;;23.8378;-80.1645;0;Bottom;TXT4
31;;;16.0909;-42.0372;0;Bottom;Copper Fill269
32;;THT;81.5193;-8.8775;90;Bottom;S20
33;;;85.5853;-95.5296;0;Bottom;Copper Fill181
34;;;99.9345;-47.9299;0;Bottom;Via332
35;;;48.0054;-96.3714;0;Top;blkr10
36;;;81.5067;-41.2228;0;Bottom;TXT1
37;;THT;69.1368;-35.865;90;Bottom;J167
38;;;14.8209;-11.8874;0;Bottom;Copper Fill179
39;;;15.1257;-31.4708;0;Bottom;Copper Fill169
40;;;61.4553;-18.7962;0;Bottom;Copper Fill78
